id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
651193,2021-05-30,Köhnə tikili,9 / 4,80,3,Kupça,120000,Vasitəçi / Rieltor,Ehmedli Metrosu yaninda 3 otaqli menzil satilir. Eksprimental proyektdir. Orta blokda yerlesir. 0- dan temir olunmus menzildir. Genis isiqli otaqlari var. Sehere Menzeresi var. Qiymetin de Endrim olacaq. Ofisin xidmet haqqi-1% teskil edir.,22,Bakı,Xətai rayonu,Əhmədli,metro. Əhmədli
648360,2021-05-30,Köhnə tikili,5 / 1,33,1,Kupça,33000,Vasitəçi / Rieltor,Sumqayıt şəhəri 5-ci mikrorayon 5/1 1 otaq orta blok eyvansız mətbəx mebeli plastik pəncərələr şəkildə qörünən bütün əşyalar qalmaq şərti ilə satılır mərkəzi istilik sistemi qaz su işıq daimi məktəb baxça market dəniz bulvarı yaxınlıqda,9,Sumqayıt,5-ci mikrorayon,,
650548,2021-05-30,Köhnə tikili,4 / 3,69.2,3,Kupça,83000,Əmlak sahibi,Ev daş binanın 3 mərtəbəsində ortada yerləşir. Hər şəraiti var.Möcüzə marketin arxasında.Bütün infrastruktur evin yanındadır.Ev Xruşov lahiyəlidir.Evin sahəsi 69.20 kv dir .Balkonnan ise 76.20 .Evin şəraətinə söz ola bilməz.Xaricə köçdüyümüz üçün ucuz satırıq. Qiymətdə endirim olacaq.Əşya isdiyən olarsa əşyalarıda satırıq. Evdə 2 kondosioneri saxlıyırıq,17,Bakı,Sabunçu rayonu,Bakıxanov qəs.,metro. Neftçilər
636002,2021-05-30,Köhnə tikili,4 / 3,68,3,Kupça,71000,Vasitəçi / Rieltor,Sumqayıt şeher Birleşmiş mehelle. 4/3 mertebesi. Orta ev. 2 balkon. Yol kenarı.Addelni xod. 3 otaq. 68 kvd. Tam temirli evdi. Kuxna mebeli dövlet istilik sistemi var. Diger elanlarimiz  yeniemlak.az/2373,7,Sumqayıt,Birləşmiş məhəllə,,
651183,2021-05-30,Köhnə tikili,5 / 5,68,3,Kupçasız,65000,Vasitəçi / Rieltor,Sumqayıt şəhəri 9-cu mikrorayon  5/5 3 otaq len.lahiyəli otaqların və sanuzerin qirişləri ayri dövlət dam örtüyü otaqların və sanuzerin qirişləri ayrı təmitsiz mənzil,14,Sumqayıt,9-cu mikrorayon,,
649590,2021-05-30,Yeni tikili,9 / 4,100,4,Kupça,153000,Vasitəçi / Rieltor,"Tecili..Bineqedi ray, Memar Eecemi metrosudan 10-15 deyqelik Mesafede,Karl Marks da, Genclik, Ataturk Parkina yaxin Erazide , 2000 ci Ilde Inwaa Edilmiw Yeni tikili DAW binada 4 OTAQLI Yaxwi TEMIRLI, SKVAZNOY Menzil Deyerinden ucuz qiymete Satilir, Orta Blok Orta Mertebe, Kombi sistemi 100 kv. Umumu sahesi , KUPCASI var IPOTEKAYA uygundur , Yalniz Real muwteri elaqe saxlasin",21,Bakı,Nərimanov rayonu,metro. Gənclik,
650141,2021-05-30,Köhnə tikili,9 / 1,155,5,Kupça,182000,Vasitəçi / Rieltor,"Super təmirlidir, bahalı materiallardan istifadə olunub.Balkonları parketlidir.Zirzəmisi var 80 kv/m qapısı çölə çıxır seyf qapı qoyulub.Pəncərənin ağzında parkinq üçün zəncirlənmiş ərazisi var tamet döşənib.Heydər Məscidinə yaxın yerləşir.Start 182000 manatdır.",15,Bakı,Binəqədi rayonu,9-cu mikrorayon,metro. Nəsimi
651177,2021-05-30,Köhnə tikili,9 / 2,80,3,Kupça,90000,Vasitəçi / Rieltor,HeziAslanov Metrosuna yaxin 3 otaqli menzil Satilir. Leningrad proyektdir. 9 Mertebeli binanin 2 ci mertebesin de yerlesir. Orta blokda yerlesir. Ofisin xidmet haqqi=1% teskil edir.,26,Bakı,Xətai rayonu,Əhmədli,metro. Əhmədli
651175,2021-05-30,Yeni tikili,15 / 6,128,3,Kupçasız,96000,Vasitəçi / Rieltor,Sumqayıt.ş 9 cu mkr 15/6 cı mərtəbəsi 128 kv.m 3 otaq təmirsiz mənzil satılır mənzilin 1 kv.m qiyməti 750 aznə verilir sənəd müqavilədi ancaq binaya kupça verilir,22,Sumqayıt,9-cu mikrorayon,,
651173,2021-05-30,Yeni tikili,18 / 4,191,4,Kupçasız,276000,Vasitəçi / Rieltor,"TƏCİLİ.....  ƏLA TƏKLİF....  GİRİB TƏMİRƏ BAŞLAMAQ OLAR...  Şəhərimizin Mərkəzi Köhnə Nəsimi Bazarının yerində tikilib təmirə buraxılmış OLYMPUS PARK Yaşayış kompleksinə aid binada 18 mərtəbənin 4 cü mərtəbəsində sahəsi 191 kv m olan 4 otaqlı pod moyak mənzil satılır.Bina təmirə buraxılııb.Əla proyekti var.3 balkon var.2 Sanüzel var.Kompleks Ərazinin Ən premium layihələrindəndi.Binanın altında NƏSİMİ MALL olacaq.Bundan Əlavə Kompleksin 4600 m2 lıq qapalı mühafizə olunan avtomobilsiz həyəti ,2 mərtəbəli yeraltı parkinqi 24 saat mühafizəsi və 24 saat reception işçi heyətinin ,əlverişli infrasuktura malik olması kimi üstünlükləri var.Satışı təcili olduğu üçün kv m -1450 manatdan qoyulub.Binanın satış ofisində qiymət mənzillər üçün 1 kv m -1800 manatdı.1 FAİZ XİDMƏT HAQQI.",19,Bakı,Nəsimi rayonu,,
