id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
223266,2022-05-24,Köhnə tikili,5 / 4,40,2,Kupçasız,89000,Əmlak sahibi,"hazir mebelləri də saxlaya bilərəm(Əlavə ödənişlə)Bütün infrastrukturlar və iaşə obyektləri hamsı yaxınlıqda yerləşir Məktəb, Bağça, Market və s mövcuddur. evin arxa ərazisiNİ də artirmaq mümkündü 1 ci mərtəbə olduguna görə klinika ve s. kimide etmek olar. Real alıcıya endirim olunacaq.",12,Bakı,Nəsimi rayonu,4-cü mikrorayon,metro. 20 Yanvar
223264,2022-05-24,Yeni tikili,20 / 16,98,3,Kupça,192000,Vasitəçi / Rieltor,"Nərimanovda Yeni Tikilidə 3 otaqlı mənzil  Lahiyə: - Yeni Tikili  Mərtəbə: - 16/20  Sahəsi: -  (çıxarış üzrə - 98kv.m.) (müqavilə üzrə - 130kv.m)   Otaq sayı: - 3 (təmiz 3 otaq)  Evin cəhəti (istiqaməti) – orta (künc deyil)  Sənəd:-  Çıxarış (kupça)  Kommunal:- Qaz, su, elektrik daimidir. Telefon, KabelTV, İnternet var.  Hamam-tualet: -  2 ayrı sanuzel  İstilik sistemi: -  Kombi  Ünvan: - Bakı Şəhəri, N.Nərimanov rayonu, Əliyar Əliyev  Yaxınlıqda: - BTE, 178 Saylı Tam Orta Məktəb, Təcili Tibbi Yardım   Qalacaq əşya: - Mətbəx mebeli, Giriş Dolabı, yataq otağındakı şakf, Kondisioner  QEYD: - Mənzilin bütün snənədləri qaydasındadır. Bina 2012ci ilin binasıdır.   REAL ALICIYA ENDİRİM OLACAQ!   Whatsapla da əlaqə saxlaya bilərsiniz.  Siz çağrı atın, biz sizə zəng edəcik.  Ofis haqqı 1%",12,Bakı,Nərimanov rayonu,metro. Nəriman Nərimanov,
223259,2022-05-24,Yeni tikili,16 / 9,135,3,Kupça,225000,Vasitəçi / Rieltor,"Bina Qara Qarayev m/s yaxin yerleşir. Çox əlverişli infrastrukturu var. İdeal variantdir. Binada qaz, su, işiq daimidir, 2 surətli lifti, yeralti qaraji var. Menzil 16/9-cu mertebe, 3- otaq, 135 kv/m pod mayakdir, Açarlar məndədir gunun istənilən vaxti gostərə bilərəm. Ətrafli melumat uçun buyurun zeng edin.",20,Bakı,Nizami rayonu,8-ci kilometr,metro. Qara Qarayev
223256,2022-05-24,Yeni tikili,17 / 14,100,3,Kupça,155000,Vasitəçi / Rieltor,Xalqlar metrosuna yaxin Yeni tikili qazli kupcali binada 3 otaga duzelme ela temirli  meznil satilir Temir zamani bahali materiallardan istifade olunub Elave melumat ucun elaqe saxlayin Ofis xidmet haqqi 1 %,19,Bakı,Xətai rayonu,metro. Xalqlar Dostluğu,
200513,2022-05-24,Yeni tikili,12 / 7,125,3,Kupça,175000,Vasitəçi / Rieltor,Bakixanov.qes Baki ticaret evin bunasinda yerlesir 125 kv 3 otaq tam temiu menzil satilir. Buyurun melumat ucun elaqe saxliya bilersiniz.,9,Bakı,Sabunçu rayonu,Bakıxanov qəs.,metro. Neftçilər
223255,2022-05-24,Köhnə tikili,5 / 1,80,3,Kupça,65000,Vasitəçi / Rieltor,"Xırdalan, Heydər parkının yaxınlığı, leninqrad layihəli binada 1-ci mərtəbədə, 3 otaqlı təmirli mənzil təcili 65000 AZN-ə satılır. Binada qaz, su, elektrik enerjisi fasiləsizdir. Sənəd çıxarışdır (kupça). Yelçəkən mənzildir. Kombi sistemi qurulub, aparat və radiatorlar var. Satış zaman mətbəx mebeli mənzildə qalacaq. Mənzilin hər iki eyvanın bir hissəsi bağlanaraq otaqlara qatılıb. Hamam və sanitar qovşağı ayrıdır. Məktəb, bağça, marşrut dayanacağı, bazar və marketlər yaxın məsafədədir. Sənədlər ipotekaya yararlıdır. Daha geniş informasiya üçün əlaqə saxlaya bilərsiniz. Təşəkkür edirik!",16,Xırdalan ş.,,,
223253,2022-05-24,Köhnə tikili,5 / 1,90,4,Kupça,70000,Vasitəçi / Rieltor,"Sumqayit seheri 13 mk 5/1, orta ev das bina 4 otaq otaqlar tualet hamam ayri ayri girilseri var,  yerden hundurdu, zirzemisi qurudu, , kombi metbext mebeli qalacaq qiymet 70 000 azn",16,Sumqayıt,13-cü mikrorayon,,
131421,2022-05-24,Yeni tikili,17 / 15,230,3,Kupça,550000,Vasitəçi / Rieltor,Qaz su isiq kupca var. Baki sağlamliq merkezin yani 230 kv 3 otaq super temirli menzil ewiyali satilir. Xahiw olunur real alici elaqe saxlasinlar.,12,Bakı,Nərimanov rayonu,metro. Gənclik,
130733,2022-05-24,Yeni tikili,17 / 15,230,3,Kupça,550000,Vasitəçi / Rieltor,Qaz su isiq kupca var. Baki sağlamliq merkezin yani 230 kv 3 otaq super temirli menzil ewiyali satilir. Xahiw olunur real alici elaqe saxlasinlar.,11,Bakı,Nəsimi rayonu,metro. 28 May,
210982,2022-05-24,Köhnə tikili,10 / 9,90,2,Kupça,136000,Vasitəçi / Rieltor,"Milli Məclisin Arxasinda  Çox Əlverişli yerdə yerləşir. Çox Əla Fürsətdi . 2 Otaqlı geniş(90kvm),TƏMİRLİ, yelçəkən mənzildir. Mətbəx Mebeli ilə birlikdə Satılır. Qaz, Su, İşıq daimidir. Kupça Var.  Şirkət xidmət haqqı 1%",7,Bakı,Səbail rayonu,metro. İçəri Şəhər,
